pairs scored: 1954

===== Bilingual — gold lines MISSING in Claude (occ | pages | modules) =====
     534 |    71 |   43 | WIDGET
     456 |    72 |   43 | a
     443 |    62 |   44 | b
     410 |    62 |   44 | ul
     339 |    26 |   21 | td
     327 |    46 |   39 | h5
     306 |    31 |   23 | tr
     283 |    48 |   36 | ┌ 4× repeated:
     283 |    65 |   45 | ┌ 3× repeated:
     267 |    46 |   39 | h4
     206 |    51 |   31 | iframe
     174 |    45 |   30 | img.img-fluid
     170 |    42 |   24 | div.button
     158 |    46 |   27 | div.videoSection.ratio.ratio-16x9
     144 |    31 |   23 | th
     132 |    31 |   23 | table.table
     128 |    11 |    9 | div.TKmodal
     128 |    30 |   23 | div.table-responsive
     120 |    38 |   26 | i
     119 |    20 |   17 | ol
     118 |    23 |   23 | div.inquiryPanel
     105 |     6 |    6 | img.img-fluid.TKmodalButton
      78 |    36 |   29 | ┌ 5× repeated:

===== Standard — gold lines MISSING in Claude (occ | pages | modules) =====
   11741 |  1593 |  294 | p
    8137 |  1439 |  292 | div.row
    4648 |  1320 |  288 | h3
    4527 |  1362 |  284 | ┌ 2× repeated:
    4071 |  1214 |  281 | div.col-md-8.col-12
    3844 |  1265 |  292 | WIDGET
    3676 |  1170 |  281 | li
    3263 |  1151 |  285 | div.col-12
    2799 |  1079 |  284 | img.img-fluid
    2185 |   910 |  241 | ul
    2055 |   992 |  275 | ┌ 3× repeated:
    2039 |  1075 |  278 | a
    2037 |   739 |  219 | b
    1623 |   595 |  208 | br
    1530 |   717 |  218 | h4
    1242 |   755 |  191 | div.button
    1068 |   565 |  160 | h5
    1065 |   602 |  208 | div.col-md-12.col-12
    1063 |   646 |  255 | ┌ 4× repeated:
    1058 |   316 |  157 | td
     806 |   352 |  146 | span
     775 |   512 |  150 | div.videoSection.icon.ratio.ratio-16x9
     770 |   331 |  168 | div.clickDropContent
     763 |   314 |  162 | tr
     723 |   448 |  118 | iframe.embed-responsive-item
     597 |   301 |  140 | i
     595 |   414 |  149 | div.alert
     579 |   404 |  179 | iframe
     571 |   396 |  187 | ┌ 5× repeated:
     548 |   434 |  182 | ┌ 2× repeated block of 2:

===== Standard — Claude lines EXTRA vs gold (occ | pages | modules) =====
    9892 |  1559 |  294 | p
    8143 |  1486 |  294 | div.row
    6825 |  1558 |  294 | div.col-md-8.col-12
    3571 |  1201 |  287 | ┌ 2× repeated:
    2957 |  1028 |  278 | li
    2758 |  1249 |  293 | WIDGET
    2594 |   881 |  268 | b
    2511 |   873 |  266 | div.col-12
    2150 |   943 |  269 | h3
    2069 |   972 |  276 | a
    1629 |   732 |  246 | ul
    1585 |   726 |  222 | img.img-fluid
    1545 |   811 |  261 | ┌ 3× repeated:
    1513 |   543 |  203 | h4
    1210 |   396 |  155 | tr
    1071 |   479 |  166 | h5
    1035 |   598 |  187 | iframe
    1021 |   482 |  206 | i
     862 |   549 |  214 | ┌ 4× repeated:
     859 |   489 |  167 | div.button
     786 |   399 |  153 | th
     748 |   317 |  140 | td
     700 |   422 |  133 | div.videoSection.ratio.ratio-16x9
     687 |   411 |  161 | table.table
     638 |   377 |   96 | h4.goJournal
     617 |   372 |  152 | div.table-responsive
     615 |   304 |  129 | ol
     537 |   368 |  179 | ┌ 5× repeated:
     464 |   256 |   79 | div.activity
     375 |   243 |  108 | div.alert

wrote _r334_skelgaps.json
