BLL110	#3	selfCheck+selfCheck	act 1C	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL110	#5	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 1F	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL110	#6	carousel+flipCard	act 2B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL110	#8	selfCheck+selfCheck	act 4	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL110	#10	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2G	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL110	#11	carousel+flipCard	act 3B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL110	#13	selfCheck+selfCheck	act 3D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL110	#15	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 3H	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL110	#16	carousel+flipCard	act 4B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL110	#18	selfCheck+selfCheck	act 4D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL110	#20	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 4H	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL110	#21	carousel+flipCard	act 5B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL110	#23	selfCheck+selfCheck	act 5D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL110	#25	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 5H	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL110	#26	carousel+flipCard	act 6B	other -	built 0	[Rolling banner] Can we have something like this please, where the images are in the rolling banner 
BLL110	#28	selfCheck+selfCheck	act 6D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL110	#30	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 6H	other -	built 1	[Modal 1 Image] [Modal 1 text] [Modal 2 Image] [Modal 2 text] [Modal 3 Image] [Modal 3 text] [video]
BLL111	#8	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2E	other -	built 1	[modal 1 image] [Modal 1 text] [modal 2 image] [Modal 2 text] [modal 3 image] [Modal 3 text] [modal 
