JDEF	GEO1006	-1	button|Go to your journal|-|<div class="button">{label}</d	[Add Buttons check answers reset ]		tag:[embed activity 1B]
JDEF	GEO1006	-1	button|Go to your journal|-|<div class="button">{label}</d	[words in red are the correct answers. Insert buttons check answers, reset]		tag:[H3]
JDEF	GER1002	-1	button|Go to your journal|-|<div class="button">{label}</d	[create check button]		tag:[body]
JDEF	GER1002	-1	button|Go to your journal|-|<div class="button">{label}</d	[create a check your answers button]		tag:[content]
JDEF	GER1002	-1	button|Go to your journal|-|<div class="button">{label}</d	[create drop-box button]		:
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[this may have to be a button to the external link because the graph is on the Te Ara website]		black:Source: Claudia Orange, ‘Te Tiriti o Waitangi – The Treaty of Waitangi – Dishonouring te Tiriti – 1860 to 1880,’ *Te Ara
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[embed this video with an image and play button]		tag:[video link]
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[insert play button and image of this video]		tag:[video link]
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed image of the first scene with a play button]		tag:[video link]
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with an image and play button]		tag:[video link]
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with an image and play button]		tag:[video link]
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[embed the video with a play button and image]		tag:[video link]
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed this video with a play button and image]		tag:[video link]
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with a play button and image]		tag:[video link]
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed this video with a play button and image]		tag:[video link]
JDEF	HIS1005	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed this video with an image and a play button]		tag:[video link]
JDEF	HIS1006	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed with an image and play button]		tag:[video link]
JDEF	HIS1006	-1	button|Go to your journal|-|<div class="button">{label}</d	[embed this video with a play button and an image]		tag:[video link]
JDEF	HIS1006	-1	button|Go to your journal|-|<div class="button">{label}</d	[please add click yes/ no buttons next to the following list, the correct answers are underlined]		black:City authorities talked to boycott leaders The KKK walked the streets of Montgomery Bus companies raised the fare Bombin
JDEF	HIS1006	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with a play button and image]		tag:[video link]
JDEF	HIS1006	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with a play button and image]		tag:[video link]
JDEF	HIS1006	-1	button|Go to your journal|-|<div class="button">{label}</d	[embed the video with an image and play button]		tag:[link]
JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[embed this video with an image and play button]		tag:[video link]
JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[insert play button and image of this video]		tag:[video link]
JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed image of the first scene with a play button]		tag:[video link]
JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with an image and play button]		tag:[video link]
JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed the video with an image and play button]		tag:[video link]
JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[embed the video with a play button and image]		tag:[video link]
JDEF	HIS1007	-1	button|Go to your journal|-|<div class="button">{label}</d	[please embed this video with a play button and image]		tag:[video link]
