writer plain-text arithmetic expressions → gold form (template | subject | class | n):
  ENGS101  total   15 math    0 (0.00) plain    0 not-in-gold   15
  MXFL204  total   15 math    0 (0.00) plain    0 not-in-gold   15
  PES1004  total   15 math    4 (0.27) plain    1 not-in-gold   10
  AGH1007  total   14 math    0 (0.00) plain    8 not-in-gold    6
  MXFL202  total   14 math    0 (0.00) plain    6 not-in-gold    8
  SSFUN05  total   14 math    0 (0.00) plain    3 not-in-gold   11
  ENGR302  total   13 math    0 (0.00) plain    0 not-in-gold   13
  MXEX401  total   13 math    0 (0.00) plain    2 not-in-gold   11
  TWHA902  total   13 math    0 (0.00) plain    0 not-in-gold   13
  ENGC201  total   12 math    0 (0.00) plain    0 not-in-gold   12
  TEFUN03  total   12 math    0 (0.00) plain    1 not-in-gold   11
  TWHK903  total   12 math    0 (0.00) plain    5 not-in-gold    7
  AGH1005  total   11 math    0 (0.00) plain    2 not-in-gold    9
  ANZH105  total   11 math    0 (0.00) plain    5 not-in-gold    6
  ART1002  to
