CEDO501	2E	h3	—	—	Aria’s Savings Goals
CEDO501	2F	h3	body:activity	body:free	Sorting income 
CEDO501	3A	h3	body:activity	body:activity	How the internet works
CEDO501	3C	h3	body:activity	body:activity	Revisiting internet terms
CEDO501	3D	h3	body:activity	body:activity	Find the browsers
CEDO501	3E	h3	body:activity	body:free	What we use browsers for
CEDO501	3F	h3	body:activity	body:activity	Revisiting internet terms
CEDO501	3G	h3	body:activity	body:activity	Revisiting internet terms
CEDO501	3G	h3	body:activity	body:free	Using your browser
CEDO501	4A	h3	body:activity	body:free	Changes in employment
CEDO501	4B	h3	body:activity	body:free	Factors that impact
CEDO501	5A	h3	body:activity	body:activity	Search engine sort
CEDO501	5B	h3	body:activity	body:free	Using the find tool
CEDO501	5C	h3	body:free	header:other	Using Boolean operators
CEDO501	5D	h3	body:activity	body:free	Is it trustworthy?
CEDO501	6D	h3	body:activity	body:free	What factors impact income
CEDO501	6E	h3	body:activity	body:free	What are the benefits?
CEDO502	1C	h3	body:activity	body:free	Manageable or unmanageable?
CEDO502	2A	h3	body:activity	body:free	My borrowing choices
CEDO502	3B	h3	body:activity	body:activity	Match the provider to the situation
CEDO502	3D	h3	body:free	body:free	Try it out
CEDO502	4C	h3	—	body:free	Kaiako-marked Activity 4C: Your search
CEDO502	7A	h3	body:activity	body:activity	When change affects credit
CEDR501	1A	h3	body:activity	body:activity	Understanding formal interviews
CEDR501	1B	h3	body:free	body:free	Needs and expectations
CEDR501	2A	h3	body:activity	body:activity	Expand vocabulary
CEDR501	2B	h3	body:activity	body:free	Choosing the right note-taking technique
CEDT104	2E	h3	—	—	**Let's** **share our pepeha waiata** **🎵**
CEDT501	1A	h3	body:activity	body:free	Your online activity
CEDT501	1B	h3	body:activity	body:activity	Unwanted comments
CEDT501	5A	h2	body:activity	body:activity	Behaviour types
CEDT501	5B	h3	body:activity	body:free	Personal Reflection Prompt
CEDT501	6D	h2	body:activity	body:activity	Positive or negative language
CEDW501	2A	h3	body:activity	body:activity	Aotearoa models of hauora
CEDW501	5C	h3	—	—	Mereana’s story
HES1002		h3	—	body:free	Watch the video below to think about what things/factors inf
HES1007	1A	h3	body:activity	body:free	Examples of Factors 
HES1007	1B	h3	body:activity	body:free	Identifying personal, interpersonal, and societal factors in
HES1007	1C	h3	body:activity	body:free	Identify and describe factors in your community 
HES1007	3A	h3	body:activity	body:activity	Summarise the article
HES1007	3B	h3	body:activity	body:activity	Energy drink resources
HES1007	3C	h3	body:activity	body:free	Sugary drink advertisements
HES1007	3D	h3	header:other	header:other	Evaluate factors that influence hauora
HES1007	4A	h3	body:activity	body:activity	Summarise the article
HES1007	4B	h3	body:activity	body:activity	Vegetable resources
HES1007	4C	h3	body:activity	body:free	Make a vegetable rich meal
HES1007	4D	h3	header:other	header:other	Evaluate factors that influence hauora
HES1007	5A	h3	body:activity	body:activity	Summarise the article
HES1007	5B	h3	body:activity	body:activity	Online behaviour resources
HES1007	5C	h3	header:other	header:other	Evaluate factors that influence hauora
HES1007	6A	h3	body:activity	body:activity	Summarise the article
HES1007	6B	h3	body:activity	body:activity	Vaping resources
HES1007	6C	h3	body:activity	body:free	Vaping-related images
HES1007	6D	h3	header:other	header:other	Evaluate factors that influence hauora
