gold externalButtons 873 on 440 pages / 198 modules (prepared 198, prep refused 0)
  source: HREF 526 · TEXT-only 140 · NONE 207 · NOPREP 0

== gold buttons by WT source signature (count · pages · modules · Claude today) ==
  NONE                                                        207 · 135 pages ·  84 mods · claude {"ABSENT":187,"PLAIN":7,"A":11,"BUTTON_PLAIN":1,"BUTTON":1}
  HREF/para/[insert button]/STANDALONE/URL                      3 ·   3 pages ·   3 mods · claude {"ABSENT":2,"BUTTON_PLAIN":1}
  HREF/para/[tile  website]/STANDALONE/URL                      2 ·   1 pages ·   1 mods · claude {"A":1,"BUTTON":1}
  HREF/para/[link]/INLINE                                       2 ·   2 pages ·   2 mods · claude {"BUTTON":2}
  HREF/para/[interactive]/INLINE/URL                            2 ·   2 pages ·   2 mods · claude {"A":2}
  HREF/para/[video link]/INLINE/URL                             2 ·   1 pages ·   1 mods · claude {"PLAIN":2}
  HREF/para/[website link]/STANDALONE/URL                       2 ·   2 pages ·   1 mods · claude {"BUTTON_PLAIN":2}
  HREF/para/[button  link]/INLINE                               2 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":2}
  HREF/para/[button]/STANDALONE                                 2 ·   2 pages ·   2 mods · claude {"BUTTON_PLAIN":1,"ABSENT":1}
  HREF/para/[web link]/STANDALONE/URL                           2 ·   1 pages ·   1 mods · claude {"ABSENT":2}
  HREF/para/[insert web link]/STANDALONE/URL                    2 ·   2 pages ·   1 mods · claude {"ABSENT":2}
  HREF/para/[insert button]/INLINE/URL                          2 ·   2 pages ·   2 mods · claude {"ABSENT":1,"A":1}
  HREF/para/[button]/STANDALONE/URL                             2 ·   2 pages ·   2 mods · claude {"BUTTON_PLAIN":1,"ABSENT":1}
  TEXT/para/[image link]/INLINE                                 2 ·   2 pages ·   1 mods · claude {"PLAIN":2}
  HREF/para/[image  website]/INLINE                             2 ·   1 pages ·   1 mods · claude {"PLAIN":2}
  HREF/para/[insert link button]/STANDALONE/URL                 2 ·   1 pages ·   1 mods · claude {"BUTTON":2}
  HREF/para/[external link button]/INLINE/URL                   2 ·   2 pages ·   2 mods · claude {"BUTTON":1,"A":1}
  TEXT/para/[button]/INLINE                                     2 ·   2 pages ·   2 mods · claude {"BUTTON_PLAIN":2}
  HREF/para/[embed text]/STANDALONE                             2 ·   1 pages ·   1 mods · claude {"A":2}
  HREF/para/[external link]/STANDALONE                          2 ·   1 pages ·   1 mods · claude {"BUTTON":2}
  TEXT/para/[add link]/INLINE                                   2 ·   2 pages ·   1 mods · claude {"PLAIN":2}
  HREF/para/[external link]/INLINE                              2 ·   1 pages ·   1 mods · claude {"BUTTON":2}
  TEXT/para/[add button]/INLINE                                 2 ·   2 pages ·   1 mods · claude {"BUTTON_PLAIN":2}
  HREF/para/[article link]/STANDALONE/URL                       2 ·   2 pages ·   2 mods · claude {"BUTTON_PLAIN":2}
  TEXT/para/[link]/STANDALONE                                   2 ·   2 pages ·   1 mods · claude {"PLAIN":2}
  HREF/para/[button link]/INLINE/URL                            2 ·   2 pages ·   2 mods · claude {"BUTTON_PLAIN":1,"PLAIN":1}
  HREF/para/[link item]/STANDALONE                              2 ·   2 pages ·   1 mods · claude {"BUTTON":2}
  HREF/para/[embedded link item]/STANDALONE                     2 ·   2 pages ·   1 mods · claude {"BUTTON":2}
  HREF/para/[embedded webpage]/INLINE                           2 ·   2 pages ·   1 mods · claude {"A":2}
  TEXT/para/[supervisor]/INLINE                                 2 ·   2 pages ·   1 mods · claude {"PLAIN":2}
  HREF/para/[insert button to]/INLINE/URL                       2 ·   2 pages ·   2 mods · claude {"BUTTON_PLAIN":2}
  HREF/para/[insert button link]/STANDALONE/URL                 2 ·   2 pages ·   1 mods · claude {"BUTTON_PLAIN":2}
  HREF/para/[insert button]/STANDALONE                          2 ·   2 pages ·   1 mods · claude {"BUTTON_PLAIN":2}
  HREF/para/[item  powerpoint]/STANDALONE                       1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[insert item ]/STANDALONE/URL                       1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[carousel is it]/STANDALONE/URL                     1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[activity body]/INLINE                              1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[are we able]/STANDALONE/URL                        1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  HREF/para/[article]/STANDALONE/URL                            1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[add button]/INLINE/URL                             1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[insert alert]/INLINE                               1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[alert box rhs]/INLINE/URL                          1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[if we can]/STANDALONE/URL                          1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[button  link]/INLINE                               1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[button interactive link]/STANDALONE/URL            1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  HREF/para/[link httpstearagovtnzenngatupumaiihawaikiplantsfrompolynesiapage]/INLINE/URL    1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
