
== ALL — Claude row-open h3 with no gold heading of that text: 764
   NOWHERE in gold — WT untagged            1 (0.02)  pages    1 / modules   1

== subject=1-10 Social Science — Claude row-open h3 with no gold heading of that text: 47
   NOWHERE in gold — WT h3                 23 (0.49)  pages    8 / modules   3
   NOWHERE in gold — WT untagged           12 (0.26)  pages    5 / modules   2
   gold inside WIDGET (h4)                  5 (0.11)  pages    2 / modules   1
   NOWHERE in gold — WT not found           4 (0.09)  pages    3 / modules   1
   NOWHERE in gold — WT title               2 (0.04)  pages    1 / modules   1
   NOWHERE in gold — WT h1                  1 (0.02)  pages    1 / modules   1

== subject=None — Claude row-open h3 with no gold heading of that text: 40
   NOWHERE in gold — WT not found          30 (0.75)  pages   19 / modules   4
   gold inside WIDGET (h4)                  5 (0.12)  pages    1 / modules   1
   gold merged into h4 (widget)             2 (0.05)  pages    1 / modules   1
   gold p                                   1 (0.03)  pages    1 / modules   1
   gold inside WIDGET (h3)                  1 (0.03)  pages    1 / modules   1
   gold reworded (h3)                       1 (0.03)  pages    1 / modules   1

== subject=ConnectED — Claude row-open h3 with no gold heading of that text: 36
   gold inside WIDGET (h4)                 10 (0.28)  pages    4 / modules   3
   NOWHERE in gold — WT untagged            6 (0.17)  pages    3 / modules   3
   NOWHERE in gold — WT h2                  6 (0.17)  pages    6 / modules   6
   NOWHERE in gold — WT not found           4 (0.11)  pages    3 / modules   1
   gold header/menu h1                      2 (0.06)  pages    2 / modules   2
   NOWHERE in gold — WT h3                  2 (0.06)  pages    2 / modules   2
   gold merged into p                       2 (0.06)  pages    1 / modules   1
   gold p                                   2 (0.06)  pages    2 / modules   2
   gold td                                  1 (0.03)  pages    1 / modules   1
   gold merged into h3                      1 (0.03)  pages    1 / modules   1

== subject=1-10 Blended Literacy — Claude row-open h3 with no gold heading of that text: 34
   NOWHERE in gold — WT title              14 (0.41)  pages   14 / modules  14
   NOWHERE in gold — WT introduction        8 (0.24)  pages    8 / modules   8
   NOWHERE in gold — WT untagged            6 (0.18)  pages    6 / modules   6
   gold inside WIDGET (p)                   2 (0.06)  pages    1 / modules   1
   gold inside WIDGET (h4)                  2 (0.06)  pages    2 / modules   1
   gold reworded (p)                        1 (0.03)  pages    1 / modules   1
   gold inside WIDGET (h5)                  1 (0.03)  pages    1 / modules   1

== subject=1-10 English — Claude row-open h3 with no gold heading of that text: 31
   NOWHERE in gold — WT h3                  7 (0.23)  pages    7 / modules   5
   gold inside WIDGET (h3)                  5 (0.16)  pages    1 / modules   1
   NOWHERE in gold — WT h2                  4 (0.13)  pages    2 / modules   2
   gold inside WIDGET (h4)                  4 (0.13)  pages    3 / modules   3
   gold reworded (p)                        2 (0.06)  pages    2 / modules   2
   NOWHERE in gold — WT untagged            2 (0.06)  pages    2 / modules   2
   gold header/menu h1                      2 (0.06)  pages    2 / modules   2
   gold merged into p                       1 (0.03)  pages    1 / modules   1
   gold merged into h4                      1 (0.03)  pages    1 / modules   1
   gold b                                   1 (0.03)  pages    1 / modules   1
   NOWHERE in gold — WT h1                  1 (0.03)  pages    1 / modules   1
   NOWHERE in gold — WT not found           1 (0.03)  pages    1 / modules   1

== series=XGF90 — Claude row-open h3 with no gold heading of that text: 80
   gold header/menu li                     24 (0.30)  pages    8 / modules   1
   NOWHERE in gold — WT h2                 15 (0.19)  pages   10 / modules   3
   NOWHERE in gold — WT h3                  9 (0.11)  pages    6 / modules   2
   NOWHERE in gold — WT not found           6 (0.07)  pages    1 / modules   1
   gold inside WIDGET (h4)                  6 (0.07)  pages    3 / modules   1
   NOWHERE in gold — WT untagged            5 (0.06)  pages    4 / modules   2
   gold p                                   4 (0.05)  pages    1 / modules   1
   gold merged into p (widget)              2 (0.03)  pages    2 / modules   2
   gold inside WIDGET (h5)                  2 (0.03)  pages    1 / modules   1
   gold inside WIDGET (li)                  2 (0.03)  pages    1 / modules   1
   gold inside WIDGET (p)                   2 (0.03)  pages    2 / modules   1
   gold reworded (h4)                       2 (0.03)  pages    2 / modules   1
   gold reworded (p)                        1 (0.01)  pages    1 / modules   1

== series=AGH10 — Claude row-open h3 with no gold heading of that text: 45
