Claude row-opening h5 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h5: 277
   gold h4 row-open                       1 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h4 inline after img               1 (0.02)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.02)  pages    1 / modules   1
   gold h5 inline after video             1 (0.02)  pages    1 / modules   1

== series=ENGFU — Claude row-open h5: 55
   NOT-IN-GOLD                           54 (0.98)  pages    5 / modules   1
   gold h2 inline after WIDGET            1 (0.02)  pages    1 / modules   1

== template+ptype=Inquiry/lesson — Claude row-open h5: 44
   NOT-IN-GOLD                           43 (0.98)  pages    4 / modules   1
   gold h2 inline after WIDGET            1 (0.02)  pages    1 / modules   1

== subject+ptype=NCEA1/overview — Claude row-open h5: 34
   NOT-IN-GOLD                           25 (0.74)  pages    5 / modules   5
   gold h4 row-open                       2 (0.06)  pages    2 / modules   2
   gold h4 inline after alert             1 (0.03)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.03)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.03)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.03)  pages    1 / modules   1
   gold h4 inline after list              1 (0.03)  pages    1 / modules   1
   gold h4 col-open                       1 (0.03)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.03)  pages    1 / modules   1

== subject+ptype=1-10 Mathematics/lesson — Claude row-open h5: 33
   NOT-IN-GOLD                           15 (0.45)  pages    8 / modules   7
   gold h4 inline after img               5 (0.15)  pages    2 / modules   2
   gold h4 row-open                       4 (0.12)  pages    4 / modules   4
   gold h4 inline after p                 3 (0.09)  pages    3 / modules   3
   gold h5 row-open                       2 (0.06)  pages    2 / modules   2
   gold h5 nested:activity                2 (0.06)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.03)  pages    1 / modules   1
   gold h4 inline after row               1 (0.03)  pages    1 / modules   1

examples:
  NOT-IN-GOLD → [('ART1003', 'ART1003_0_0.html', 'activity 1'), ('ART1003', 'ART1003_0_0.html', 'activity 2 3 a3 pages'), ('ART1003', 'ART1003_0_0.html', 'activity 1 investigate landscape photographic conventions an'), ('ART1003', 'ART1003_0_0.html', 'activity 1 an inquiry about my significant place')]
  gold h2 nested:panel → [('CEDW201', 'CEDW201_0_0.html', 'introduction'), ('EXIP901', 'EXIP901_4_0.html', 'whakamana agency')]
  gold h3 nested:panel → [('CEDW201', 'CEDW201_0_0.html', 'what are concrete poems'), ('TWHK901', 'TWHK901_0_0.html', 'local vs global sustainability'), ('TWHK901', 'TWHK901_0_0.html', 'sustainable development goals sdgs'), ('TWHK901', 'TWHK901_0_0.html', 'why is rubbish a problem')]
  gold h4 inline after alert → [('ENG1004', 'ENG1004_0_0.html', 'how to present your learning'), ('XLP02', 'XLP02_5_0.html', 'benefits for writing')]
  gold h4 inline after p → [('ENG1004', 'ENG1004_0_0.html', 'possible contexts'), ('ENGI400', 'ENGI400_3_0.html', 'this or that research project'), ('ENGS405', 'ENGS405_0_0.html', 'kia t mata tatou'), ('MXEX401', 'MXEX401_5_0.html', 'example')]
  gold h4 row-open → [('ENG1005', 'ENG1005_0_0.html', 'purpose of this standard'), ('ENG1007', 'ENG1007_0_0.html', 'purpose of this standard'), ('ENGI400', 'ENGI400_1_0.html', 'journal activities'), ('MXFL104', 'MXFL104_3_0.html', 'quarter to')]
  gold h3 inline after p → [('ENG1005', 'ENG1005_0_0.html', 'two key terms'), ('TRR114', 'TRR114_1_0.html', 'he aha t ku i ako ai')]
  gold h4 inline after h3 → [('ENG1005', 'ENG1005_0_0.html', 'what is an aspect'), ('ENGS401', 'ENGS401_4_0.html', 'no words needed')]
  gold h4 inline after list → [('ENG1005', 'ENG1005_0_0.html', 'what is a studied text'), ('XLP02', 'XLP02_5_0.html', 'practical activities')]
  gold h4 col-open → [('ENG1007', 'ENG1007_0_0.html', 'what is an aspect')]
  gold h4 nested:alert → [('ENG1007', 'ENG1007_0_0.html', 'assessment conditions'), ('ENGJ402', 'ENGJ402_2_0.html', 'a note on rhyming schemes'), ('HIS1005', 'HIS1005_9_0.html', 'modernday slavery'), ('HIS1006', 'HIS1006_10_0.html', 'koha')]
  gold h2 inline after WIDGET → [('ENGFUN02', 'ENGFUN02_1_0.html', 'canted angle')]
  gold h5 nested:alert → [('ENGI102', 'ENGI102_10_0.html', 'aesops fables'), ('ENGJ402', 'ENGJ402_3_0.html', 'a note on rhythm schemes'), ('ENGJ402', 'ENGJ402_5_0.html', 'a note on imagery metaphor and symbolism'), ('ENGJ402', 'ENGJ402_5_0.html', 'have a go')]
  gold h5 row-open → [('ENGI202', 'ENGI202_1_0.html', 'congratulations on finishing lesson one in the next lesson y'), ('ENGI202', 'ENGI202_2_0.html', 'congratulations on finishing lesson two in the next lesson y'), ('ENGI202', 'ENGI202_4_0.html', 'aesops fables'), ('ENGI202', 'ENGI202_4_0.html', 'grimms fairy tales')]
  gold h5 inline after p → [('ENGI202', 'ENGI202_4_0.html', 'jack and the beanstalk'), ('ENGI202', 'ENGI202_4_0.html', 'the monkey and the crocodile'), ('ENGI202', 'ENGI202_4_0.html', 'the tale of chunhyang'), ('ENGS301', 'ENGS301_2_0.html', 'trees are taongatreasure')]
