tag | runs | lost shingles | modules | red-line share | families | examples
alert                          |    44 |    178 |   35 | 0.00 | {'CEDR': 27, 'OSBY': 22, 'TEFUN': 20, 'MXEX': 18, 'XDLS': 17} | CBI1004: if you study genetics further genotypes and phenotypes 1 ;; CEDO502: before agreeing to a loan credit unions and ;; CEDR203: study and protect plant diversity match the word to the definition
end page                       |    19 |    172 |    7 | 0.06 | {'CHFUN': 78, 'HES': 57, 'GEO': 16, 'CEDK': 11, 'HIS': 9} | CEDK501: lot to this kaiako marked activity activity 2c operations 2 2 divide whole numbers by one ;; CHFUN05: using h to link nouns we are learning to understand that ;; CHFUN05: u y u both and we are learning to use y
title bar                      |    23 |    161 |   22 | 0.00 | {'BLL': 65, 'WJFUN': 62, 'CEDT': 8, 'CEDW': 8, 'MUS': 4} | BLL143: module 4 ai j oa ie ee or ;; BLL157: z w v ng oo tirohanga whānui overview understand shared codes and conventions ;; BLL167: y x sh ch th tirohanga whānui overview understand shared codes and conventions
correct answer                 |    32 |    159 |    7 | 0.00 | {'WJFUN': 135, 'ENGC': 14, 'ENO': 9, 'HPRE': 1} | ENGC206: salty water for 10 minutes mix the ingredients slowly bake the dish in the oven ;; ENGC206: the oven at 180 degrees add the sauce slowly to the ;; ENO2060: a lawyer she is troubled the cards are significant shes in a casino she seems
correct                        |    46 |    152 |    6 | 0.03 | {'GENO': 63, 'SSEA': 43, 'TEDC': 20, 'ENGS': 16, 'BLL': 5} | BLL274: i mātātā the chicks kāhu hōkioi 31 ;; BLL274: home who am i hōkioi kāhu the kiore mātātā https ;; CEDO202: is in the southern hemisphere if the hemisphere is in direct
click drop                     |    37 |    137 |   11 | 0.00 | {'OSOH': 57, 'BLL': 31, 'FRFUN': 25, 'OSBY': 8, 'OSGM': 8} | BLL245: 1 the beginning jim comes home from ;; BLL245: the kitchen for a biscuit 2 the problem appears the biscuit jar ;; BLL245: says it is a mystery 3 becoming a detective jim decides to
hN title bar                   |     3 |    134 |    2 | 0.00 | {'WJFUN': 134} | WJFUN112: knowledge choosing the right language style register such as formal or informal helps make the writing ;; WJFUN112: identifying the audience and purpose for a text then planning and writing for the intended audience ;; WJFUN116: knowledge choosing th
insert video                   |    16 |    122 |    7 | 0.00 | {'XLP': 87, 'GEO': 14, 'SSFUN': 10, 'XDLS': 10, 'WJFUN': 1} | GEO1004: in hawkes bay watch this short video clip by the hawkes bay regional council about using ;; GEO1005: a māori creation story in sand what ;; SSFUN01: what a great social action kaitiakitanga guardianship and conservation https
activity Nc                    |    35 |    118 |   23 | 0.23 | {'BLL': 43, 'WJFUN': 18, 'MXDI': 17, 'MXDB': 9, 'MXFL': 6} | ARFUN04: colour theory challenge instructions match the terms related to ;; BLL113: on a pin sentence building drag these words to the correct ;; BLL123: for your answer sentence building drag these words to the correct
insert image                   |     6 |    118 |    5 | 0.00 | {'WJFUN': 83, 'XGF': 13, 'TEDC': 12, 'CEDO': 6, 'GEO': 4} | CEDO202: down some of the following 1 what weather patterns do you notice ;; GEO1006: reaches of the waimakariri river 1 v shaped valleys water ;; TEDC401: that apply save to cloud open local photos refresh feed sync notes between devices play soundtrack
bold                           |    18 |    115 |    8 | 0.00 | {'WJFUN': 110, 'ENGC': 5} | ENGC206: or offering some final advice identify the parts of a recipe ;; WJFUN113: for example the clock went tick tock all day the train shouted choo choo as it ;; WJFUN113: station everyone gave a big clap after the song the old door
interactive: accordion         |     1 |    110 |    1 | 0.00 | {'AGH': 110} | AGH1009: processes leading to a decrease in methane emissions less livestock manure including its application to fields
activity                       |    21 |    100 |    9 | 0.15 | {'TEDC': 63, 'PES': 18, 'MXFU': 7, 'PHE': 7, 'HPFUN': 2} | AGH1002: 50 sand 20 clay 30 silt 3 ;; ANZH203: reflection go to your journal to write ;; CEDT102: how different each star is matariki image
drag and drop                  |    25 |     94 |   14 | 0.03 | {'ENGC': 45, 'ENFUN': 13, 'BLL': 12, 'WJFUN': 9, 'MXEO': 7} | BLL117: cloze activity drag the missing words into the ;; BLL210: can hear the e silent e bee wave ;; BLL215: words with a prefix words with a suffix untidy spells
introduction                   |     5 |     88 |    1 | 0.00 | {'XGF': 88} | XGF9001: module is all about exploring how and where you learn ;; XGF9001: and where you learn best just like the stars guided māori ;; XGF9001: the module is all about understanding and managing intensities and celebrating your strengths giftedness often
embed activity                 |     8 |     86 |    2 | 0.00 | {'GEO': 86} | GEO1005: gis map activity you are now going to complete activity ;; GEO1005: canterbury plains characteristics go to your journal to complete ;; GEO1005: your journal to complete activity 2a you are going to draw a map of the canterbury
speaker N                      |     3 |     78 |    1 | 0.00 | {'CEDR': 78} | CEDR401: text to text two of them were about young people will the old people help too ;; CEDR401: text to world was only one of them about aotearoa new zealand yes just one do ;; CEDR401: text to self i am a caring person but how does caring about people help
caption                        |    16 |     76 |    5 | 0.00 | {'PWY': 19, 'HIS': 18, 'GEWHA': 16, 'TEFUN': 15, 'SCBI': 8} | GEWHA: berlin berlin ist die hauptstadt von deutschland https ;; GEWHA: ist der k lner dom in k ln deutschland https ;; GEWHA: das ist currywurst mit pommes und mayonnaise https
end speech bubble              |    14 |     74 |    2 | 0.00 | {'WJFUN': 74} | WJFUN115: and imagine what is happening adjectives add detail an adjective is ;; WJFUN115: clear picture in their minds match the adjective read the adjectives and nouns below ;; WJFUN115: extra detail to an action which word describes the action choose the ad
TOTAL lost shingles 30806 runs 5803
