TEDC401	6.0	dropDown	h p e T		«[Activty / Dropbox] 6C»	after«»	cell0«»	head«**Share your learning**»	owner«»	prev«X!»
TEDC402	8.0	unclassified	h I T		«[Activity]»	after«**7H**»	cell0«»	head«**Quick check + reflection**»	owner«»	prev«p»
TEFUN05	0.0	carousel	T		«[Insert Carousel]»	after«»	cell0«»	head«»	owner«»	prev«p»
TEFUN05	0.0	multiChoiceQuiz	X		«[Go to quiz]»	after«»	cell0«»	head«»	owner«»	prev«p»
TEFUN05	0.0	multiChoiceQuiz	h p X		«[Free text box with file upload capability quiz] [»	after«»	cell0«»	head«Your turn»	owner«»	prev«p»
TEFUN06	0.0	clickDrop	X		«[Clickdrop]»	after«Compare your ideas with ours»	cell0«»	head«»	owner«»	prev«?»
TEFUN06	0.0	clickDrop	X		«[Clickdrop]»	after«Compare your ideas with ours»	cell0«»	head«»	owner«»	prev«?!»
TEFUN06	0.0	clickDrop	X		«[Clickdrop]»	after«Compare your ideas with ours»	cell0«»	head«»	owner«»	prev«?!»
TEFUN08	0.0	accordion	X		«[Accordion]»	after«Click here to see if you notic»	cell0«»	head«»	owner«»	prev«p»
TRR301	2.0	typing	X		«[Activity: Embedded] [typing – self check] Please »	after«»	cell0«»	head«»	owner«»	prev«T!»
TWHA902	0.0	unclassified	h I p T		«[Interactive activity] Drag and drop [Dev mix the »	after«»	cell0«»	head«Understanding body language»	owner«»	prev«p»
TWHA902	0.0	dragAndDrop	X		«[interactive: Drag and drop] Dev – answers align i»	after«»	cell0«»	head«»	owner«»	prev«p»
WJFUN109	0.0	selfCheck	X		«[self auto check]»	after«»	cell0«»	head«»	owner«»	prev«p»
WJFUN110	0.0	clickDrop	X		«[click drop]»	after«»	cell0«»	head«»	owner«»	prev«p»
WJFUN110	0.0	dragAndDrop	h X		«[Activity 1B] [drag and drop]»	after«»	cell0«»	head«Match it up!»	owner«»	prev«T!»
WJFUN113	0.0	dragAndDrop	h p p p p p p p		«[Activity 2A] [Drag and drop]»	after«»	cell0«»	head«Make a simile»	owner«»	prev«e»
WJFUN113	0.0	dragAndDrop	h p p p p p p p		«[Activity 2B] [drag and drop]»	after«»	cell0«»	head«Sound hunt!»	owner«»	prev«e»
WJFUN210	0.0	typing	h p p X		«[Activity 1B] [dropquiz] [self-check]»	after«»	cell0«»	head«Practice using figurative language»	owner«»	prev«X!»
WJFUN210	0.0	dragAndDrop	h p ?		«[Activity 2B] [drag and drop] [Self Check]»	after«»	cell0«»	head«Choosing effective words»	owner«»	prev«?»
WJFUN211	0.0	dropDown	h e e e I e I p		«[Activity 2A] [Dropdown quiz – Auto check] [Please»	after«»	cell0«»	head«Engaging the senses»	owner«»	prev«p»
WJFUN211	0.0	dropDown	h p p p p p ?		«[Activity 2B][Dropdown Quiz – Auto Check][Arrange »	after«»	cell0«»	head«Think Like the Reader»	owner«»	prev«p»
WJFUN304	0.0	multiChoiceQuiz	X		«[H3] [Activity 2A] [Multi-choice][Auto-marked sele»	after«Upgrade your sentences»	cell0«»	head«»	owner«»	prev«X!»
WJFUN305	0.0	dropDown	h p e p p p p ?		«[Activity 1A] [Dropdown quiz – Auto check] [Arrang»	after«»	cell0«»	head«Audience or Purpose?»	owner«»	prev«X»
WJFUN305	0.0	dropDown	h p p p p ?		«[Activity 2A] [Dropdown quiz – Auto check] [Arrang»	after«»	cell0«»	head«Form, Genre, or Style?»	owner«»	prev«p»
WJFUN305	0.0	dropDown	h p p p p ?		«[Activity 2C] [Dropdown Quiz – Auto Check] [arrang»	after«»	cell0«»	head«Why did the writer choose that?»	owner«»	prev«X»
WJFUN306	0.0	dropDown	h e p p p ?		«[Activity 2C] [Dropdown quiz – autocheck] [positio»	after«»	cell0«»	head«Codes and conventions»	owner«»	prev«X»
WJFUN307	0.0	dropDown	h p p p p p p ?		«[Activity 1A] [Dropdown Quiz – Auto Check] [Arrang»	after«»	cell0«»	head«Synonym strength»	owner«»	prev«p»
WJFUN307	0.0	dragAndDrop	h p e T		«[Activity 1B] [Drag and Drop]»	after«»	cell0«»	head«Choosing the best thesaurus suggestion»	owner«»	prev«X»
WJFUN307	0.0	selectionBox	h p p p p p ?		«[Activity 2A] [checkbox – Auto Check] [Arrange the»	after«»	cell0«»	head«Spot the language feature»	owner«»	prev«p»
WJFUN307	0.0	selectionBox	h p p p p p ?		«[Activity 2B] [checkbox – Auto Check] [Arrange the»	after«»	cell0«»	head«Choose the best language feature»	owner«»	prev«X»
WJFUN308	0.0	dropDown	h p p p p p p p		«[Activity 1B] [Dropdown Quiz – Auto Check] [Arrang»	after«»	cell0«»	head«The author's choice»	owner«»	prev«p»
XDLS501	2.0	dropDown	X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	2.0	dropDown	X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	2.0	dropDown	X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	2.0	dropDown	X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	2.0	dropDown	X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«e»
XDLS501	2.0	dropDown	X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	2.0	dropDown	X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	2.0	dropDown	X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	3.0	dropDown	h e h e X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«Mindful Behavior»	owner«»	prev«e»
XDLS501	3.0	dropDown	E		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	4.0	dropDown	e X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«e»
XDLS501	4.0	dropDown	E		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	5.0	dropDown	h e X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«Mindfully sharing ideas and information»	owner«»	prev«e»
XDLS501	5.0	dropDown	E		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	6.0	dropDown	e X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«e»
XDLS501	6.0	dropDown	E		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS501	7.0	dropDown	E		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«»	owner«»	prev«X»
XDLS502	0.0	flipCard	X		«[flipcards]»	after«»	cell0«»	head«»	owner«»	prev«e»
XDLS901	1.0	dropDown	X		«[dropbox buttons] video, camera, microphone»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS901	1.0	dropDown	X		«[dropbox buttons] video, camera, microphone»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS901	1.0	dropDown	X		«[dropbox buttons] video, camera, microphone»	after«»	cell0«»	head«»	owner«»	prev«p!»
XDLS901	1.0	dropDown	E		«[dropbox buttons] video, camera, microphone»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS901	2.0	dropDown	X		«[dropbox buttons] video, camera, microphone»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS901	2.0	dropDown	E		«[dropbox buttons] video, camera, microphone»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS901	3.0	dropDown	X		«[dropbox buttons] video, camera, microphone»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS901	3.0	dropDown	E		«[dropbox buttons] video, camera, microphone»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS901	4.0	dropDown	X		«[dropbox buttons] video, camera, microphone»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS902	1.0	clickDrop	X		«[Click Drop 2]»	after«**Explain:**»	cell0«»	head«»	owner«»	prev«p»
XDLS902	1.0	clickDrop	X		«[Click Drop 3]»	after«**Do:**»	cell0«»	head«»	owner«»	prev«p»
XDLS902	2.0	clickDrop	X		«[Click Drop 3]»	after«**Do:**»	cell0«»	head«»	owner«»	prev«p»
XDLS902	4.0	clickDrop	X		«[Click Drop 5]»	after«**Create**»	cell0«»	head«»	owner«»	prev«p»
XDLS902	6.0	clickDrop	X		«[Click Drop 2]»	after«**Explain:**»	cell0«»	head«»	owner«»	prev«e»
XDLS902	6.0	clickDrop	X		«[Click Drop 5]»	after«**Create**»	cell0«»	head«»	owner«»	prev«p»
XDLS906	1.0	clickDrop	X		«[Click Drop Activities x 6]»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS906	2.0	clickDrop	X		«[Click Drop Activities x 6]»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS906	3.0	clickDrop	X		«[Click Drop Activities x 6]»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS906	4.0	clickDrop	X		«[Click Drop Activities x 6]»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS906	5.0	clickDrop	X		«[Click Drop Activities x 6]»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS906	6.0	clickDrop	X		«[Click Drop Activities x 6]»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS906	7.0	clickDrop	X		«[Click Drop Activities x 6]»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS909	1.0	clickDrop	X		«[Click Drop 3] Compare»	after«»	cell0«»	head«»	owner«»	prev«e»
XDLS909	2.0	clickDrop	X		«[Click Drop 3] Compare»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS909	2.0	clickDrop	X		«[Click Drop 5] Judge»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS909	3.0	clickDrop	X		«[Click Drop 3] Compare»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS909	4.0	clickDrop	X		«[Click Drop 2] Explain and do»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS909	4.0	clickDrop	X		«[Click Drop 3] Compare»	after«»	cell0«»	head«»	owner«»	prev«p!»
XDLS909	4.0	clickDrop	X		«[Click Drop 5] Judge»	after«»	cell0«»	head«»	owner«»	prev«e»
XDLS912	1.0	dropDown	X		«[dropbox buttons] camera and video»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS912	1.0	dropDown	X		«[dropbox buttons] camera and video»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS912	2.0	dropDown	X		«[Dropbox buttons] Video and camera»	after«»	cell0«»	head«»	owner«»	prev«p!»
XDLS912	3.0	dropDown	X		«[Dropbox buttons] Camera and video»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS912	3.0	dropDown	X		«[Dropbox buttons] Video and camera»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS912	4.0	dropDown	X		«[Dropbox buttons] camera and video»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS912	5.0	dropDown	X		«[dropbox buttons] Camera and video»	after«»	cell0«»	head«»	owner«»	prev«p»
XDLS912	5.0	dropDown	X		«[dropbox buttons] Video and camera»	after«»	cell0«»	head«»	owner«»	prev«p!»
XGF9001	4.0	multiChoiceQuiz	h p p p p h p p		«[Quiz]»	after«»	cell0«»	head«1. When faced with a big challenge, you:»	owner«»	prev«p»
XGF9001	5.0	dropDown	X		«[Dropbox]»	after«»	cell0«»	head«»	owner«»	prev«p»
XGF9001	6.0	dropDown	h p p p p p		«[Upload Journal to Dropbox]»	after«»	cell0«»	head«What have we learned and where to next?»	owner«»	prev«e»
XGF9003	1.0	modal	h X		«[Pop-out]»	after«Tasks that need immediate atte»	cell0«»	head«**Do this later**»	owner«»	prev«h»
XGF9003	1.0	modal	h X		«[Pop-out]»	after«Tasks that are important for y»	cell0«»	head«**Delegate this**»	owner«»	prev«h»
XGF9003	1.0	modal	h X		«[Pop-out]»	after«These are tasks that need imme»	cell0«»	head«**Delete this**»	owner«»	prev«h»
XGF9003	1.0	modal	h p X		«[Pop-out]»	after«Tasks that are neither urgent »	cell0«»	head«Putting the Eisenhower Matrix into practice»	owner«»	prev«h»
XGF9004	8.0	dropDown	h p p p p h p p		«[Upload to dropbox.]»	after«»	cell0«»	head«What have we learned?»	owner«»	prev«e»
XGF9004	13.0	dropDown	h p p h p X		«[Upload to dropbox.]»	after«»	cell0«»	head«What have we learned in Awa Whakaaro | River of Thought?»	owner«»	prev«p»
XGF9004	17.0	dropDown	h p p I X		«[Upload to dropbox.]»	after«»	cell0«»	head«What have we learned?»	owner«»	prev«e»
XGF9004	17.0	dropDown	h h p h p X		«[Upload to dropbox.]»	after«»	cell0«»	head«Bringing it All Together»	owner«»	prev«e»
XLP03	4.0	dragAndDrop	X		«[insert drag and drop interactive]»	after«»	cell0«»	head«»	owner«»	prev«I»
XLP04	3.0	clickDrop	X		«[insert accordion click and drop]»	after«»	cell0«»	head«»	owner«»	prev«h»
XLP05	2.0	reorder	h p I p e p e p		«[Reorder interactive – with images]»	after«»	cell0«»	head«Evening schedule»	owner«»	prev«e»
XLP05	5.0	multiChoiceQuiz	h p p p p p ?		«[Multi choice quiz]»	after«»	cell0«»	head«Quiz time»	owner«»	prev«p»
XMES101	1.0	dropDown	X		«[Camera and video dropbox buttons]»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES101	3.0	dropDown	X		«[camera dropbox button]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES101	6.0	dropDown	X		«[camera dropbox button]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES101	6.0	dropDown	X		«[camera dropbox button]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES101	8.0	dropDown	X		«[microphone and video dropbox buttons]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES101	8.0	dropDown	h p e p e		«[camera dropbox button]»	after«»	cell0«»	head«Matariki song»	owner«»	prev«p!»
XMES103	1.0	dropDown	X		«[insert Dropbox] microphone.»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES103	1.0	dropDown	X		«[Dropbox Button] camera, video, microphone»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES103	2.0	dropDown	X		«[insert dropbox button] camera, video.»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES103	2.0	dropDown	X		«[Dropbox Button] camera, video.»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES103	3.0	dropDown	X		«[Dropbox Button] microphone, camera, video.»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES103	3.0	dropDown	X		«[Dropbox Button] camera, video.»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES103	4.0	dropDown	X		«[Dropbox Button] Microphone»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES103	5.0	dropDown	X		«[Dropbox Button] camera, video.»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES201	1.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES201	1.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES201	2.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES201	2.0	dropDown	X		«[insert dropbox link for microphone, camera and vi»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES203	1.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES203	1.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES203	2.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES203	2.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES203	3.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES203	3.0	dropDown	X		«[insert dropbox icon for photograph and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES203	4.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES203	4.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XMES203	4.0	dropDown	X		«[insert dropbox icon for photographs]»	after«»	cell0«»	head«»	owner«»	prev«T!»
XMES203	4.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XMES203	4.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«T!»
XMES203	5.0	dropDown	X		«[insert dropbox icon for microphone and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS101	1.0	dropDown	h p X		«[insert dropbox button] Microphone»	after«»	cell0«»	head«Sorting»	owner«»	prev«p»
XTAS101	1.0	dropDown	X		«[insert dropbox link] photo/video»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS101	1.0	dropDown	h p p I X		«[insert dropbox link] Photo»	after«»	cell0«»	head«Where does my special interest belong?»	owner«»	prev«p!»
XTAS101	2.0	dropDown	X		«[insert Dropbox link] microphone/video/photo»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS101	2.0	dropDown	X		«[insert dropbox link] photo/video»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS101	3.0	dropDown	X		«[insert dropbox link] photo/video»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS102	1.0	dropDown	X		«[insert dropbox icon for photographs]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XTAS102	1.0	dropDown	X		«[insert dropbox icon for video]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XTAS102	2.0	dropDown	X		«[insert dropbox icon for photographs and video]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XTAS102	2.0	dropDown	X		«[insert dropbox icon for photographs and video]»	after«»	cell0«»	head«»	owner«»	prev«p!»
XTAS102	2.0	dropDown	h p p p X		«[insert dropbox icon for photographs and video]»	after«»	cell0«»	head«Matching pairs»	owner«»	prev«p!»
XTAS102	2.0	dropDown	X		«[insert dropbox icon for photographs and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS102	3.0	dropDown	X		«[insert dropbox icon for photographs and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS102	4.0	dropDown	X		«[insert dropbox icon for photographs and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS102	4.0	dropDown	X		«[insert dropbox icon for photographs and video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS102	5.0	dropDown	X		«[insert dropbox icon for photographs]»	after«»	cell0«»	head«»	owner«»	prev«I!»
XTAS103	1.0	dropDown	X		«[insert dropbox icon for video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS103	2.0	dropDown	X		«[insert dropbox icon for photographs]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS103	2.1	dropDown	X		«[insert dropbox icon for photographs]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS103	3.0	dropDown	X		«[insert dropbox icon for photographs and video]»	after«»	cell0«»	head«»	owner«»	prev«I»
XTAS103	3.0	dropDown	X		«[insert dropbox icon for video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS103	4.0	dropDown	X		«[insert dropbox icon for video]»	after«»	cell0«»	head«»	owner«»	prev«p»
XTAS103	4.0	dropDown	X		«[insert dropbox icon for video]»	after«»	cell0«»	head«»	owner«»	prev«p»
