BLL161	1.0	dropDown	E		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e!»
BLL163	1.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«p»
BLL163	1.1	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«p»
BLL164	1.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«p!»
BLL165	1.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«p!»
BLL165	1.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«p!»
BLL171	1.0	dropDown	E		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e!»
BLL175	1.1	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«p!»
BLL176	1.1	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«p!»
BLL212	1.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«p»
BLL212	2.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«e»
BLL214	1.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«»	prev«p»
BLL224	2.0	dropDown	X		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e»
BLL231	2.0	dropDown	X		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e»
BLL232	2.0	dropDown	X		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e»
BLL237	1.0	dropDown	X		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e!»
BLL262	1.0	dropDown	X		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e»
BLL262	3.0	dropDown	X		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e»
BLL262	3.0	dropDown	X		«Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e»
BLL263	3.0	dropDown	X		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e»
BLL263	3.0	dropDown	X		«[Dropbox to trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«e»
BLLR201	1.1	clickDrop	X		«[clickdrop 1]»	after«The 13-Storey Treehouse»	cell0«»	head«»	owner«»	prev«p!»
BLLR201	1.1	clickDrop	X		«[clickdrop 2]»	after«*Detective Beans and the Case »	cell0«»	head«»	owner«»	prev«T!»
BLLR201	1.1	clickDrop	X		«[clickdrop 3]»	after«*Animals of Aotearoa*»	cell0«»	head«»	owner«»	prev«T!»
BLLR201	1.1	clickDrop	X		«[clickdrop 4]»	after«The Observologist»	cell0«»	head«»	owner«»	prev«T!»
CEDO301	3.0	carousel	X		«[Slideshow] [Video]»	after«Media item numbers 15, 16, 17,»	cell0«»	head«»	owner«»	prev«h»
CEDR302	0.0	dropDown	h p p p p p p p		«[Keep the dropdown]»	after«»	cell0«»	head«What do I want to know?»	owner«»	prev«p!»
CEDR501	5.0	flipCard	T		«[Flipcards]»	after«»	cell0«»	head«»	owner«»	prev«p»
CEDT104	0.0	dropDown	h ?		«Please create a dropdown menu for each item]»	after«»	cell0«»	head«»	owner«»	prev«h»
CEDT104	0.0	dropDown	h p X		«[Please insert a Dropbox]»	after«»	cell0«»	head«**What have I learned?**»	owner«»	prev«p»
CEDT104	0.0	selectionBox	X		«[Please insert tick boxes] [earn a star ⭐️]»	after«»	cell0«»	head«»	owner«»	prev«p»
CEDT104	0.0	dropDown	h p p I p p I p		«[Dropbox link]»	after«»	cell0«»	head«**Let's check what we've learned**»	owner«»	prev«p»
CEDT501	7.0	dropDown	h p p p p p p p		«[Upload to dropbox]»	after«»	cell0«»	head«What if you’re on the receiving end?»	owner«»	prev«I»
CEDW501	6.0	dropDown	X		«[Upload to Dropbox]»	after«Upload to dropbox»	cell0«»	head«»	owner«»	prev«p»
CHFUN05	0.0	flipCard	T		«[flipcard] [body]»	after«Click on the card to turn the »	cell0«»	head«»	owner«»	prev«T»
CHI1005	7.0	dropDown	E		«[insert dropbox icon]»	after«»	cell0«»	head«»	owner«»	prev«I»
CHWHA	0.0	typing	X		«[self-check model answers]»	after«There are **1.4 billion people»	cell0«»	head«»	owner«»	prev«p»
