writer links (non-media) 14461; lost from Claude 3626
tag | gold | lost links | modules | families | examples
(no tag)                  | gold lacks it | 1192 | 234 | {'HIS': 227, 'AGH': 90, 'HPFUN': 90, 'PES': 88} | AGH1002 L1085: naturcycle.com/a-better-understanding-of-soil-ph ;; AGH1002 L1087: tekura.desire2learn.com/d2l/le/content/12099/viewcontent/164103/view ;; AGH1003 L1415: tekura.desire2learn.com/d2l/le/content/12099/viewcontent/1647
image link                | gold lacks it |   24 |   6 | {'HIS': 21, 'SSFUN': 2, 'ANZH': 1} | ANZH104 L290: earth.google.com/web/data=mickjqojciexegpjvnvizk54t1a5n0hkzupief9kuxnl ;; HIS1003 L1150: nzhistory.govt.nz/node/3246 ;; HIS1003 L1184: nzhistory.govt.nz/node/3246
side alert                | gold lacks it |   23 |  19 | {'BLL': 23} | BLL125 L139: drive.google.com/drive/u/0/folders/1oc303q_0x6lpjczuu-ht3dpwwv0uv85g ;; BLL127 L90: drive.google.com/drive/u/0/folders/1oc303q_0x6lpjczuu-ht3dpwwv0uv85g ;; BLL131 L253: drive.google.com/drive/u/0/folders/1hcyip8ljpvfq
drop and drag             | gold lacks it |   22 |   9 | {'BLL': 22} | BLL113 L255: drive.google.com/drive/u/0/folders/1lbrv5pdpiokr5j0odla_ymtczpwgliyo ;; BLL140 L361: drive.google.com/drive/u/0/folders/1lwqccwpxwjo8pbbmre2nhjd6nfh1sn_c ;; BLL150 L871: drive.google.com/drive/folders/1ntsu8nhzlzxmorx
correct                   | gold HAS it   |   22 |   1 | {'BLL': 22} | BLL254 L257: drive.google.com/file/d/1ruoql7fz1snuhrq_lyrquess8tesvocn/view?usp=dri ;; BLL254 L258: drive.google.com/file/d/1ruoql7fz1snuhrq_lyrquess8tesvocn/view?usp=dri ;; BLL254 L259: drive.google.com/file/d/1ruoql7fz1snuhrq_ly
tab N                     | gold lacks it |   21 |   4 | {'BLL': 20, 'MXDB': 1} | BLL242 L131: drive.google.com/file/d/1bw7cofwmmsilxpo3yenporjw7ebvegxp/view?usp=dri ;; BLL242 L135: drive.google.com/file/d/1mf93rvxis1uok_anocnv583yhaqeas3v/view?usp=dri ;; BLL242 L139: drive.google.com/file/d/1ub2-7grisdnxgngcon
image N                   | gold lacks it |   19 |  10 | {'BLL': 9, 'MXEX': 5, 'EXPFUN': 2, 'CEDO': 1} | BLL140 L111: drive.google.com/drive/u/0/folders/1lwqccwpxwjo8pbbmre2nhjd6nfh1sn_c ;; BLL150 L103: drive.google.com/drive/folders/1ntsu8nhzlzxmorxn1fyw-ff7pud73c7f ;; BLL150 L290: drive.google.com/drive/folders/1ntsu8nhzlzxmorxn1fy
end                       | gold lacks it |   19 |  19 | {'BLL': 17, 'CBI': 1, 'EXPFUN': 1} | BLL142 L301: mytekuraschool.sharepoint.com/:w:/s/tearawhakamua381/etq_babcdmrloyzkv ;; BLL143 L353: mytekuraschool.sharepoint.com/:w:/s/tearawhakamua381/etq_babcdmrloyzkv ;; BLL144 L284: mytekuraschool.sharepoint.com/:w:/s/tearawh
item                      | gold lacks it |   18 |   6 | {'PNR': 12, 'PMT': 3, 'TRR': 3} | PMT101 L67: apc01.safelinks.protection.outlook.com/?url=https%3a%2f%2fintranet.tek ;; PMT101 L68: mytekuraschool.sharepoint.com/:w:/s/tearawhakamua381/efgpfypyzgbkjq3ap ;; PMT101 L70: mytekuraschool.sharepoint.com/:f:/s/tearawhaka
drag and drop             | gold lacks it |   17 |   6 | {'BLL': 16, 'XMES': 1} | BLL167 L181: drive.google.com/drive/folders/1wxp9lx45pbulzq8wrqzoiwyw7vml4tmv ;; BLL230 L122: drive.google.com/drive/u/0/folders/1ynp8fnqnohdb41vvrle3sdyx2_d_q_dd ;; BLL230 L876: drive.google.com/drive/u/0/folders/1ynp8fnqnohdb41v
insert media item         | gold lacks it |   16 |   2 | {'HPFUN': 16} | HPFUN202 L430: mytekuraschool.sharepoint.com/:i:/s/tearawhakamua381/etdjg5gue_degwcoo ;; HPFUN402 L436: mytekuraschool.sharepoint.com/:i:/s/tearawhakamua381/edufiwt8mtndthz_l ;; HPFUN402 L438: mytekuraschool.sharepoint.com/:i:/s/t
