
===== Bilingual — gold line ⇐ Claude line (occ | pages | modules) =====
       6 |     6 |    1 | div.button.buttonD.iconCentral  ⇐  div.button
       5 |     5 |    4 | ┌ 3× repeated:  ⇐  ┌ 2× repeated:
       5 |     5 |    1 | div.col-md-12.col-12.paddingR  ⇐  div.col-md-8.col-12
       4 |     4 |    4 | h2  ⇐  h3
       4 |     2 |    2 | p  ⇐  a
       4 |     3 |    3 | h3  ⇐  p
       4 |     4 |    4 | ┌ 5× repeated:  ⇐  ┌ 6× repeated:
       3 |     2 |    2 | div.col-md-8.col-12  ⇐  div.row
       3 |     2 |    2 | div.row  ⇐  h3
       3 |     2 |    2 | div.col-12  ⇐  p
       3 |     2 |    2 | ol  ⇐  ul
       3 |     3 |    2 | div.col-md-8.col-12.paddingR  ⇐  div.col-md-8.col-12
       3 |     2 |    2 | img.img-fluid  ⇐  div.col-md-8.col-12
       3 |     3 |    3 | ┌ 6× repeated:  ⇐  ┌ 3× repeated:
       3 |     3 |    1 | ┌ 2× repeated block of 3:  ⇐  ┌ 2× repeated block of 2:
       3 |     3 |    1 | table.table.table-bordered.tableFixed  ⇐  table.table.table-bordered
       2 |     2 |    2 | div  ⇐  p
       2 |     2 |    2 | iframe  ⇐  a
       2 |     2 |    2 | div.row  ⇐  div.activity[number=1E]
       2 |     2 |    2 | div.activity.alertPadding[number=1E]  ⇐  div.col-12
       2 |     2 |    2 | li  ⇐  b
       2 |     1 |    1 | div.col-4  ⇐  div.row
       2 |     2 |    2 | div.activity.alertPadding.super-content-button[number=3B]  ⇐  div.activity.super-content-button[number=4B]
       2 |     2 |    2 | div.col-md-12.col-12  ⇐  div.col-12
       2 |     2 |    2 | p  ⇐  div.col-12
       2 |     2 |    2 | h3  ⇐  div.row
       2 |     2 |    2 | p  ⇐  div.col-md-8.col-12
       2 |     2 |    2 | ┌ 3× repeated:  ⇐  div.row
       2 |     2 |    2 | img.img-fluid  ⇐  p
       2 |     2 |    1 | table.table  ⇐  table.table.table-bordered
       2 |     2 |    1 | tr.rowSolid  ⇐  tr
       2 |     1 |    1 | td  ⇐  th
       2 |     2 |    2 | WIDGET  ⇐  div.col-md-8.col-12

===== Standard — gold line ⇐ Claude line (occ | pages | modules) =====
     259 |   221 |  121 | div.col-12  ⇐  div.col-md-8.col-12
     228 |   134 |   94 | p  ⇐  h5
     166 |   143 |   84 | div.col-md-12.col-12  ⇐  div.col-md-8.col-12
     152 |    86 |   84 | h5  ⇐  ┌ 2× repeated:
     144 |   133 |   60 | iframe.embed-responsive-item  ⇐  iframe
     108 |    94 |   48 | div.videoSection.icon.ratio.ratio-16x9  ⇐  div.videoSection.ratio.ratio-16x9
      93 |    69 |   48 | h3  ⇐  h4
      84 |    69 |   45 | div.col-md-10.col-12  ⇐  div.col-md-8.col-12
      83 |    77 |   45 | div.col-md-8.col-12.paddingR  ⇐  div.col-md-8.col-12
      76 |    60 |   39 | div.col-md-8.col-12  ⇐  div.col-12
      62 |    62 |   16 | body.container-fluid.mathJax  ⇐  body.container-fluid
      50 |    44 |   22 | div.col-md-12.col-12  ⇐  div.col-12
      48 |    47 |   39 | ┌ 2× repeated:  ⇐  ┌ 3× repeated:
      47 |    29 |   19 | h4  ⇐  h5
      47 |    40 |   21 | h2  ⇐  h3
      38 |    37 |   36 | ┌ 3× repeated:  ⇐  ┌ 2× repeated:
      38 |    38 |   13 | ul.footer-nav  ⇐  ul.footer-nav.inquiry-nav
      35 |    24 |   13 | ul  ⇐  ol
      34 |    17 |   11 | h3  ⇐  h5
      30 |    30 |   22 | ┌ 2× repeated:  ⇐  p
      30 |    30 |   10 | ┌ 2× repeated block of 3:  ⇐  ┌ 2× repeated block of 2:
      29 |    28 |   11 | div.row.super-content  ⇐  div.super-content.row
      28 |    28 |   28 | div.acks  ⇐  div.acks.acksTemplate
      27 |    27 |   27 | div.activity.interactive[number=1A]  ⇐  div.activity[number=1A]
      25 |    22 |   12 | h4  ⇐  h3
      25 |    25 |    4 | div.col-md-8  ⇐  div.col-md-8.col-12
      23 |    23 |    9 | div#body.container-fluid  ⇐  div#body
      22 |    22 |   13 | WIDGET  ⇐  div.col-md-8.col-12
      22 |    22 |   10 | div.alert.solid  ⇐  div.alert
      19 |    19 |   19 | ┌ 3× repeated:  ⇐  p
      19 |    19 |   18 | p  ⇐  div.row
      18 |    17 |   16 | ┌ 3× repeated:  ⇐  ┌ 4× repeated:
      18 |    18 |   16 | p  ⇐  ┌ 2× repeated:
      18 |    18 |   18 | div.activity.interactive[number=2A]  ⇐  div.activity[number=2A]
      18 |    16 |    8 | div.col-8  ⇐  div.col-md-8.col-12
      17 |    17 |   17 | li  ⇐  b
      16 |    16 |   15 | div.row.supervisor  ⇐  div.row
      16 |    16 |   15 | WIDGET  ⇐  p
      16 |    11 |    3 | div.col-md-12  ⇐  div.col-12
      15 |    15 |   13 | ┌ 2× repeated:  ⇐  ┌ 4× repeated:
