pairs 1956; position-free ratio mean 73.082 % (the gate's difflib ratio is at most this; the gap is the ORDER loss)
total skeleton lines: gold 229189 / claude 197222; EXTRA lines (claude over gold, per page) 45894; MISSING lines (gold over claude) 77861

==== EXTRA — labels Claude ships more of than the gold on the same page (sum of per-page excess) ====
 excess  pages  mods gold-tot  cl-tot  label  |  where
    333    254   165     1065     836  ┌ 2× repeated block of 2:  |  template=Standard 215 (0.65); template=Fundamentals 63 (0.19); subject=1-10 English 60 (0.18); subject=1-10 Mathematics 60 (0.18)
    330    220   117     1174     898  div.alert  |  template=Standard 262 (0.79); subject=NCEA1 93 (0.28); subject=Leaving to Learn 46 (0.14); template=Inquiry 35 (0.11)
    200    101    58     1380     817  div.icon.ratio.ratio-16x9.videoSection  |  template=Standard 127 (0.64); template=Fundamentals 67 (0.34); subject=1-10 Arts 53 (0.27); subject=1-10 Mathematics 38 (0.19)
    172    172    38     1591    1744  body.container-fluid  |  template=Standard 149 (0.87); subject=ConnectED 68 (0.40); subject=1-10 Mathematics 48 (0.28); template=Inquiry 23 (0.13)
    171    141   109      247     318  ┌ 7× repeated:  |  template=Standard 125 (0.73); subject=1-10 Mathematics 44 (0.26); subject=NCEA1 23 (0.13); template=Inquiry 20 (0.12)
    167     47    27      199     217  div.TKmodal  |  subject=1-10 Blended Literacy 111 (0.66); template=Inquiry 98 (0.59); template=Standard 68 (0.41); subject=1-10 Mathematics 41 (0.25)
    153    109    60      449     301  div.externalButton  |  template=Standard 147 (0.96); subject=NCEA1 48 (0.31); subject=1-10 Mathematics 31 (0.20); subject=ANZH 17 (0.11)
    147    123    92      217     264  ┌ 8× repeated:  |  template=Standard 94 (0.64); subject=1-10 Mathematics 31 (0.21); template=Bilingual 24 (0.16); subject=Te Marautanga o Aotearoa TMoA 24 (0.16)
    144     50    30      886     568  h2  |  template=Standard 80 (0.56); subject=NCEA1 79 (0.55); template=Fundamentals 44 (0.31); template=Inquiry 19 (0.13)
    125     13    13       11     130  img.TKmodalButton.img-fluid  |  subject=1-10 Blended Literacy 110 (0.88); template=Inquiry 101 (0.81); template=Standard 24 (0.19); subject=EXPlore 12 (0.10)
    116    111   111       97     178  div.activity[number=2A]  |  template=Standard 89 (0.77); subject=1-10 Blended Literacy 34 (0.29); subject=1-10 Mathematics 20 (0.17); subject=1-10 English 17 (0.15)
    116     77    58        0     116  div.ratio.ratio-16x9  |  template=Standard 74 (0.64); template=Inquiry 33 (0.28); subject=1-10 Blended Literacy 33 (0.28); subject=1-10 Mathematics 26 (0.22)
    112     51    36     1247     239  div.clickDropContent  |  template=Standard 93 (0.83); subject=Online Safety (OS9000) 23 (0.21); subject=NCEA1 21 (0.19); subject=Leaving to Learn 19 (0.17)
    111    102   100      111     174  div.activity[number=1A]  |  template=Standard 77 (0.69); subject=1-10 Blended Literacy 30 (0.27); template=Inquiry 24 (0.22); subject=1-10 English 13 (0.12)
    107     74    49      968     560  span.infoTrigger  |  template=Standard 99 (0.93); subject=Leaving to Learn 28 (0.26); subject=1-10 English 20 (0.19); subject=1-10 Social Science 18 (0.17)
    103     64    48      290     311  div.col-12.col-md-6.paddingR  |  template=Standard 91 (0.88); subject=1-10 Blended Literacy 29 (0.28); subject=1-10 Mathematics 26 (0.25); subject=ANZH 15 (0.15)
    101     72    59       86     130  ┌ 10× repeated:  |  template=Standard 57 (0.56); template=Bilingual 26 (0.26); subject=Te Marautanga o Aotearoa TMoA 26 (0.26); subject=1-10 Mathematics 25 (0.25)
