75 leaks on 46 pages
[('[image', 22), ('[hintslider', 17), ('[h2', 6), ('[h3', 5), ('[h5', 4), ('[h1', 4), ('[hint slider', 4), ('[activity', 3), ('[body', 3), ('[clickdrop', 2), ('[drag and drop', 2), ('[answer', 1), ('[rollover', 1), ('[carousel', 1)]
  GENO901   GENO901_7_3.html       '[Hintslider'  … [Hintslider front] Wie schreibt man das? [Hintslider back] Das schreibt man A-B-C-D …
  GENO901   GENO901_7_3.html       '[Hintslider'  …t man A-B-C-D [Hintslider front] Wie alt bist du? [Hintslider back] Ich…
  GENO901   GENO901_7_3.html       '[Hintslider'  … [Hintslider front] Wie alt bist du? [Hintslider back] Ich bin ... (Jahre alt). …
  GENO901   GENO901_7_3.html       '[Hintslider'  … (Jahre alt). [Hintslider front] Woher kommst du? Woher kommen Sie? [Hin…
  GENO901   GENO901_7_3.html       '[Hintslider'  …ider front] Woher kommst du? Woher kommen Sie? [Hintslider back] Ich komme aus ... …
  GENO901   GENO901_7_3.html       '[Hintslider'  …komme aus ... [Hintslider front] Wo wohnst du? Wo wohnen Sie? [Hintslide…
  GENO901   GENO901_7_3.html       '[Hintslider'  …Hintslider front] Wo wohnst du? Wo wohnen Sie? [Hintslider back] Ich wohne in ... …
  GENO901   GENO901_7_3.html       '[Hintslider'  … wohne in ... [Hintslider front] Welche Sprachen sprichst du? / Welche Sprachen spre…
  GENO901   GENO901_7_3.html       '[Hintslider'  …en sprichst du? / Welche Sprachen sprechen Sie? [Hintslider back] Ich spreche ... …
  HIS1001   HIS1001_5_0.html       '[Image'       …explanations. See the example below. Source C [Image: https://blog.nuclearsecrecy.com/2012/06/29/friday-image-at…
  HIS1002   HIS1002_7_0.html       '[Body'        …es and collaborative action. [Body Text] Governments did not spontaneously agree to cre…
  HIS1005   HIS1005_6_0.html       '[Image'       … The Half-gallon quarter-acre Pavlova paradise [Image Link] https://en.wikipedia.org/wiki/The_Half-Gallon_Quarter…
  HIS1005   HIS1005_9_1.html       '[Image'       …te supremist racists (along with the Nazi swastika). [Image Link] https://www.americancivilwarstory.com/images/xFort_Su…
  HIS1006   HIS1006_2_1.html       '[H2'          … [H2] Connections and Concepts Just like the events at Li…
  MUS1004   MUS1004_3_0.html       '[image'       …id="body"> time signatures [image] Existing Module code: MCO551 % Content from …
  MUS1004   MUS1004_6_0.html       '[H2'          …or comparison: Eminem - Lose Yourself [HD] [H2] What does it sound like? Syncopation deep dive #1: The Mar…
  MUS1004   MUS1004_8_0.html       '[H2'          …but take out drag and drop [H2} Hākinakina Have fun. Play! Here is a link to the T…
  MUS1004   MUS1004_9_0.html       '[image'       …f rhythm that we covered in this module apply here. [image] And as a follow up, this video explains an effecti…
