Claude row-opening h4 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h4: 894
   gold h4 deep                           2 (0.02)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.01)  pages    1 / modules   1
   gold h3 inline after list              1 (0.01)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 inline after h2                1 (0.01)  pages    1 / modules   1

== subject=1-10 Mathematics — Claude row-open h4: 88
   NOT-IN-GOLD                           42 (0.48)  pages   27 / modules  14
   gold h3 row-open                       7 (0.08)  pages    4 / modules   4
   gold h5 nested:table                   7 (0.08)  pages    1 / modules   1
   gold h4 inline after p                 5 (0.06)  pages    4 / modules   4
   gold h4 row-open                       5 (0.06)  pages    4 / modules   4
   gold h4 deep                           4 (0.05)  pages    2 / modules   2
   gold h4 inline after img               3 (0.03)  pages    3 / modules   3
   gold h4 nested:alert                   3 (0.03)  pages    2 / modules   2
   gold h3 nested:activity                2 (0.02)  pages    1 / modules   1
   gold h5 inline after p                 2 (0.02)  pages    1 / modules   1
   gold h3 inline after p                 2 (0.02)  pages    1 / modules   1
   gold h4 inline after video             1 (0.01)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 inline after table             1 (0.01)  pages    1 / modules   1

== subject=Online Safety (OS9000) — Claude row-open h4: 86
   gold h4 row-open                      38 (0.44)  pages   23 / modules  13
   gold h4 inline after p                11 (0.13)  pages    9 / modules   8
   NOT-IN-GOLD                            8 (0.09)  pages    7 / modules   7
   gold h3 row-open                       5 (0.06)  pages    5 / modules   4
   gold h5 inline after p                 5 (0.06)  pages    3 / modules   3
   gold h4 deep                           4 (0.05)  pages    3 / modules   3
   gold h5 row-open                       3 (0.03)  pages    3 / modules   3
   gold h4 inline after video             3 (0.03)  pages    3 / modules   3
   gold h4 inline after a                 2 (0.02)  pages    2 / modules   2
   gold h5 inline after h2                1 (0.01)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.01)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h4 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h5 inline after video             1 (0.01)  pages    1 / modules   1

== subject=Te Marautanga o Aotearoa TMoA — Claude row-open h4: 30
   gold h4 inline after h4                6 (0.20)  pages    1 / modules   1
   gold h3 inline after h3                6 (0.20)  pages    1 / modules   1
   NOT-IN-GOLD                            5 (0.17)  pages    2 / modules   1
   gold h4 inline after alert             3 (0.10)  pages    1 / modules   1
   gold h4 inline after p                 3 (0.10)  pages    1 / modules   1
   gold h3 inline after alert             3 (0.10)  pages    1 / modules   1
   gold h3 inline after p                 3 (0.10)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.03)  pages    1 / modules   1

== template+ptype=Standard/lesson — Claude row-open h4: 726
   NOT-IN-GOLD                          272 (0.37)  pages  116 / modules  65
