Claude row-opening h3 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h3: 2942
   gold h3 nested:activity               25 (0.07)  pages   18 / modules  13
   gold h3 inline after p                11 (0.03)  pages   11 / modules   9
   gold h3 col-open                       8 (0.02)  pages    7 / modules   3
   gold h3 deep                           6 (0.02)  pages    4 / modules   3
   gold h3 inline after row               5 (0.01)  pages    5 / modules   1
   gold h2 row-open                       4 (0.01)  pages    3 / modules   2
   gold h4 nested:activity                4 (0.01)  pages    1 / modules   1
   gold h3 nested:alert                   3 (0.01)  pages    3 / modules   3
   gold h4 deep                           3 (0.01)  pages    2 / modules   2
   gold h4 inline after p                 3 (0.01)  pages    2 / modules   2
   gold h5 row-open                       3 (0.01)  pages    2 / modules   1

== subject=ConnectED — Claude row-open h3: 212
   gold h3 row-open                      98 (0.46)  pages   50 / modules   7
   NOT-IN-GOLD                           36 (0.17)  pages   23 / modules  14
   gold h3 nested:activity               28 (0.13)  pages   18 / modules   7
   gold h2 row-open                      22 (0.10)  pages   13 / modules   4
   gold h3 inline after p                11 (0.05)  pages    8 / modules   4
   gold h2 nested:panel                   5 (0.02)  pages    3 / modules   3
   gold h3 inline after row               3 (0.01)  pages    2 / modules   1
   gold h3 inline after alert             2 (0.01)  pages    2 / modules   1
   gold h3 inline after img               1 (0.00)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.00)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.00)  pages    1 / modules   1
   gold h3 inline after table             1 (0.00)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.00)  pages    1 / modules   1
   gold h3 inline after a                 1 (0.00)  pages    1 / modules   1

== subject=None — Claude row-open h3: 202
   gold h3 row-open                      58 (0.29)  pages   26 / modules   5
   NOT-IN-GOLD                           41 (0.20)  pages   22 / modules   4
   gold h3 nested:activity               34 (0.17)  pages   15 / modules   4
   gold h3 inline after br               26 (0.13)  pages    9 / modules   2
   gold h2 row-open                       7 (0.03)  pages    4 / modules   2
   gold h3 nested:alert                   6 (0.03)  pages    6 / modules   1
   gold h2 inline after br                5 (0.02)  pages    3 / modules   1
   gold h3 inline after alert             3 (0.01)  pages    1 / modules   1
   gold h3 inline after p                 2 (0.01)  pages    2 / modules   1
