Claude row-opening h4 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h4: 1174
   gold h3 nested:activity               11 (0.09)  pages    9 / modules   6
   gold h2 row-open                       6 (0.05)  pages    3 / modules   3
   gold h5 nested:table                   2 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 2 (0.02)  pages    2 / modules   1
   gold h4 inline after h3                2 (0.02)  pages    2 / modules   2
   gold h4 deep                           2 (0.02)  pages    1 / modules   1
   gold h4 nested:alert                   2 (0.02)  pages    1 / modules   1
   gold h3 inline after h2                1 (0.01)  pages    1 / modules   1
   gold h3 inline after row               1 (0.01)  pages    1 / modules   1
   gold h3 col-open                       1 (0.01)  pages    1 / modules   1

== subject=NCEA1 — Claude row-open h4: 102
   NOT-IN-GOLD                           59 (0.58)  pages   25 / modules  18
   gold h4 inline after p                 9 (0.09)  pages    8 / modules   7
   gold h4 inline after h3                7 (0.07)  pages    7 / modules   2
   gold h2 row-open                       5 (0.05)  pages    3 / modules   3
   gold h4 row-open                       4 (0.04)  pages    3 / modules   3
   gold h4 inline after row               3 (0.03)  pages    2 / modules   2
   gold h3 row-open                       3 (0.03)  pages    3 / modules   3
   gold h4 inline after alert             2 (0.02)  pages    2 / modules   1
   gold h4 nested:alert                   2 (0.02)  pages    2 / modules   2
   gold h4 deep                           2 (0.02)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.01)  pages    1 / modules   1
   gold h3 inline after list              1 (0.01)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 inline after h2                1 (0.01)  pages    1 / modules   1

== subject=None — Claude row-open h4: 89
   gold h4 inline after h3               28 (0.31)  pages    5 / modules   5
   NOT-IN-GOLD                           27 (0.30)  pages    8 / modules   3
   gold h4 inline after list             16 (0.18)  pages    1 / modules   1
   gold h3 row-open                       9 (0.10)  pages    6 / modules   4
   gold h3 deep                           2 (0.02)  pages    2 / modules   1
   gold h4 nested:alert                   1 (0.01)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.01)  pages    1 / modules   1
   gold h5 nested:alert                   1 (0.01)  pages    1 / modules   1
   gold h2 row-open                       1 (0.01)  pages    1 / modules   1
   gold h4 row-open                       1 (0.01)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1

== subject=1-10 Mathematics — Claude row-open h4: 88
   NOT-IN-GOLD                           42 (0.48)  pages   27 / modules  14
   gold h3 row-open                       7 (0.08)  pages    4 / modules   4
   gold h5 nested:table                   7 (0.08)  pages    1 / modules   1
   gold h4 inline after p                 5 (0.06)  pages    4 / modules   4
   gold h4 row-open                       5 (0.06)  pages    4 / modules   4
   gold h4 deep                           4 (0.05)  pages    2 / modules   2
   gold h4 inline after img               3 (0.03)  pages    3 / modules   3
   gold h4 nested:alert                   3 (0.03)  pages    2 / modules   2
   gold h3 nested:activity                2 (0.02)  pages    1 / modules   1
   gold h5 inline after p                 2 (0.02)  pages    1 / modules   1
   gold h3 inline after p                 2 (0.02)  pages    1 / modules   1
   gold h4 inline after video             1 (0.01)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 inline after table             1 (0.01)  pages    1 / modules   1

== subject=Online Safety (OS9000) — Claude row-open h4: 86
   gold h4 row-open                      38 (0.44)  pages   23 / modules  13
   gold h4 inline after p                11 (0.13)  pages    9 / modules   8
   NOT-IN-GOLD                            8 (0.09)  pages    7 / modules   7
   gold h3 row-open                       5 (0.06)  pages    5 / modules   4
   gold h5 inline after p                 5 (0.06)  pages    3 / modules   3
   gold h4 deep                           4 (0.05)  pages    3 / modules   3
   gold h5 row-open                       3 (0.03)  pages    3 / modules   3
   gold h4 inline after video             3 (0.03)  pages    3 / modules   3
   gold h4 inline after a                 2 (0.02)  pages    2 / modules   2
   gold h5 inline after h2                1 (0.01)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.01)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h4 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h5 inline after video             1 (0.01)  pages    1 / modules   1

== subject=EXPlore — Claude row-open h4: 85
   NOT-IN-GOLD                           30 (0.35)  pages    6 / modules   6
   gold h3 inline after WIDGET           28 (0.33)  pages    3 / modules   3
   gold h3 row-open                      11 (0.13)  pages    3 / modules   3
   gold h2 inline after WIDGET            6 (0.07)  pages    1 / modules   1
   gold h2 row-open                       6 (0.07)  pages    1 / modules   1
   gold h3 col-open                       3 (0.04)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1

== subject=1-10 Arts — Claude row-open h4: 58
   NOT-IN-GOLD                           20 (0.34)  pages    3 / modules   3
   gold h3 row-open                      13 (0.22)  pages    3 / modules   3
   gold h4 inline after h3                6 (0.10)  pages    2 / modules   2
   gold h3 nested:activity                5 (0.09)  pages    2 / modules   2
   gold h2 row-open                       3 (0.05)  pages    2 / modules   2
   gold h3 inline after list              3 (0.05)  pages    1 / modules   1
   gold h3 inline after p                 2 (0.03)  pages    1 / modules   1
   gold h3 inline after h2                2 (0.03)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h4 inline after table             1 (0.02)  pages    1 / modules   1
