pairs 2349; position-free ratio mean 72.549 % (the gate's difflib ratio is at most this; the gap is the ORDER loss)
total skeleton lines: gold 271762 / claude 233363; EXTRA lines (claude over gold, per page) 54848; MISSING lines (gold over claude) 93247

==== EXTRA — labels Claude ships more of than the gold on the same page (sum of per-page excess) ====
 excess  pages  mods gold-tot  cl-tot  label  |  where
    368    246   136     1415    1039  div.alert  |  template=Standard 283 (0.77); subject=NCEA1 105 (0.29); template=Fundamentals 50 (0.14); subject=Leaving to Learn 46 (0.12)
    239    165   100      531     447  div.externalButton  |  template=Standard 201 (0.84); subject=NCEA1 60 (0.25); subject=1-10 Mathematics 40 (0.17); subject=1-10 Blended Literacy 39 (0.16)
    238    238    49     1876    2094  body.container-fluid  |  template=Standard 193 (0.81); subject=ConnectED 69 (0.29); subject=NCEA1 67 (0.28); subject=1-10 Mathematics 48 (0.20)
    218    111    62     1509     836  div.icon.ratio.ratio-16x9.videoSection  |  template=Standard 145 (0.67); template=Fundamentals 67 (0.31); subject=1-10 Arts 53 (0.24); subject=ANZH 43 (0.20)
    203    166   132      274     358  ┌ 7× repeated:  |  template=Standard 142 (0.70); subject=1-10 Mathematics 42 (0.21); subject=NCEA1 41 (0.20); template=Fundamentals 29 (0.14)
    167    144   114      243     288  ┌ 8× repeated:  |  template=Standard 102 (0.61); subject=1-10 Mathematics 31 (0.19); subject=NCEA1 27 (0.16); template=Bilingual 25 (0.15)
    167     47    27      210     217  div.TKmodal  |  subject=1-10 Blended Literacy 111 (0.66); template=Inquiry 98 (0.59); template=Standard 68 (0.41); subject=1-10 Mathematics 41 (0.25)
    165     40    40        6     166  div.activity  |  template=Fundamentals 95 (0.58); subject=1-10 Health and PE 43 (0.26); template=Inquiry 40 (0.24); subject=1-10 Social Science 40 (0.24)
    150     54    33     1154     653  h2  |  template=Standard 80 (0.53); subject=NCEA1 79 (0.53); template=Fundamentals 46 (0.31); template=Inquiry 19 (0.13)
    148    139   138      108     217  div.activity[number=2A]  |  template=Standard 112 (0.76); subject=1-10 Blended Literacy 34 (0.23); subject=NCEA1 25 (0.17); subject=1-10 Mathematics 22 (0.15)
    135    124   122      121     205  div.activity[number=1A]  |  template=Standard 92 (0.68); subject=1-10 Blended Literacy 30 (0.22); template=Inquiry 24 (0.18); subject=NCEA1 19 (0.14)
    128     90    62     1181     669  span.infoTrigger  |  template=Standard 117 (0.91); subject=Leaving to Learn 28 (0.22); subject=1-10 English 25 (0.20); subject=NCEA1 23 (0.18)
    125     13    13       11     130  img.TKmodalButton.img-fluid  |  subject=1-10 Blended Literacy 110 (0.88); template=Inquiry 101 (0.81); template=Standard 24 (0.19); subject=EXPlore 12 (0.10)
