units the gold carries 87905; lost by Claude 664 (0.008)
tag | lost units | modules | families | examples
add button                     |     6 |    2 | {'HIS': 6} | HIS1005 L1787: then go to your journal and write down one idea you had regarding the ;; HIS1005 L2697: source abel meeropol the new york teacher january 1937 us library of congress ;; HIS1005 L2703: southern trees bear strange fruit ;; HIS1005 L2705: blood on the leaves and blood at the root
interactive: accordion         |     5 |    1 | {'AGH': 5} | AGH1009 L1301: reduces the collective enteric fermentation processes leading to a decrease in methane emissions ;; AGH1009 L1303: less livestock manure including its application to fields can influence nitrous oxide emissions livestock ;; AGH1009 L1305: lower demand for feed which in turn can lead t
mtkquiz                        |     5 |    2 | {'WJFUN': 5} | WJFUN115 L576: read each statement carefully decide whether it is true or false ;; WJFUN206 L933: choose the sentence that uses speech marks correctly ;; WJFUN206 L937: a wairaka said kia whakatāne au i ahau ;; WJFUN206 L938: b wairaka said kia whakatāne au i ahau
insert image                   |     5 |    2 | {'WJFUN': 4, 'XGF': 1} | WJFUN211 L719: māori rock carvings at mine bay ;; WJFUN211 L729: if needed return to lesson 1 to revisit the videos and information about your ;; WJFUN211 L731: in the quiz you will write a descriptive paragraph of 150 to 250 words ;; WJFUN211 L735: use imagery to help readers picture the place
mtkquiz content                |     5 |    1 | {'WJFUN': 5} | WJFUN211 L753: write a descriptive paragraph of 150 to 250 words about your chosen location your ;; WJFUN211 L755: use imagery to help readers picture the place ;; WJFUN211 L757: include details that appeal to at least three different senses ;; WJFUN211 L759: use specific and interesting vocabulary
insert table as follows        |     5 |    1 | {'WJFUN': 5} | WJFUN306 L231: crystal clear waters creates a positive image of kai iwi lakes ;; WJFUN306 L232: sweeping sands helps readers picture the beach ;; WJFUN306 L233: rich history appeals to people interested in culture and heritage ;; WJFUN306 L234: adventure and relaxation appeals to different interests
button                         |     4 |    3 | {'CEDO': 2, 'GEO': 1, 'XGF': 1} | CEDO301 L379: go to journal upload to dropbox ;; CEDO301 L409: go to journal upload to dropbox ;; GEO1005 L646: find out more about earthquake faults in canterbury here ;; XGF9003 L478: te ara tipu te ara hou secondary
click drop                     |     4 |    2 | {'FRFUN': 2, 'OSAH': 2} | FRFUN06 L1908: sentence 1 is missing an accent sentence 2 is the correct version of sentence ;; FRFUN06 L1908: sentence 3 is missing an accent sentence 4 is the correct version of sentence ;; OSAH501 L517: taha hinengaro mental and emotional wellbeing ;; OSAH501 L527: taha hinengaro mental and emoti
speech bubble with this text   |     4 |    1 | {'GENO': 4} | GENO901 L237: hallo guten tag hello good day ;; GENO901 L239: wie geht es dir how are you ;; GENO901 L241: sch n dich zu sehen nice to see you ;; GENO901 L243: lass uns was unternehmen lets do something
interactive activity           |     4 |    1 | {'MXDI': 4} | MXDI201 L1465: 1 factors of 20 2 4 6 5 20 15 1 10 ;; MXDI201 L1467: 2 factors of 10 1 3 2 10 4 5 12 8 ;; MXDI201 L1469: 3 factors of 4 12 1 2 7 4 10 3 20 ;; MXDI201 L1473: 5 factors of 36 2 8 4 6 10 12 15 18 1 3
