PHE1008	5.0	clickDrop	h e p h e p h e		«[Click drop]»	after«»	cell0«»	head«Sport»	owner«»	prev«p»	unowned
SCCH301	6.0	flipCard	h X		«[Three flip cards next to each other, with H5 size»	after«»	cell0«»	head«Running hot water over a stuck jar lid often loosens it. Why»	owner«»	prev«p»	unowned
SCES201	1.0	radioQuiz	h p I ?		«[activity 1a] [radio quiz] [auto check]»	after«»	cell0«»	head«All about stars»	owner«»	prev«p»	unowned
SCES201	1.0	dragAndDrop	h e p p p p p p		«[Activity 1c] [download then drag and drop activit»	after«»	cell0«»	head«Maramataka wheel.»	owner«»	prev«X»	unowned
SCES201	2.0	dropDown	h p X		«[Activity 2b] [dropdown quiz paragraph]»	after«»	cell0«»	head«Puanga and Orion»	owner«»	prev«e»	unowned
SCES201	3.0	dropDown	h p I ?		«[activity 3b] [dropdown quiz] [self check]»	after«»	cell0«»	head«The Matariki whetū»	owner«»	prev«e»	unowned
SSCI205	9.0	dropDown	h p e e e p		«[Dropbox]»	after«»	cell0«»	head«Share your learning»	owner«»	prev«p!»	unowned
SSOG103	6.0	dropDown	h p e e e X		«[Dropbox]»	after«»	cell0«»	head«Share your learning»	owner«»	prev«p!»	unowned
TEDC401	4.0	multiChoiceQuiz	h X		«[self check quiz]»	after«»	cell0«»	head«**Design checkpoint**»	owner«»	prev«X!»	unowned
TEFUN05	0.0	multiChoiceQuiz	h p X		«[Free text box with file upload capability quiz] [»	after«»	cell0«»	head«Your turn»	owner«»	prev«p»	unowned
WJFUN110	0.0	dragAndDrop	h X		«[Activity 1B] [drag and drop]»	after«»	cell0«»	head«Match it up!»	owner«»	prev«T!»	unowned
WJFUN113	0.0	dragAndDrop	h p p p p p p p		«[Activity 2A] [Drag and drop]»	after«»	cell0«»	head«Make a simile»	owner«»	prev«e»	unowned
WJFUN113	0.0	dragAndDrop	h p p p p p p p		«[Activity 2B] [drag and drop]»	after«»	cell0«»	head«Sound hunt!»	owner«»	prev«e»	unowned
WJFUN210	0.0	typing	h p p X		«[Activity 1B] [dropquiz] [self-check]»	after«»	cell0«»	head«Practice using figurative language»	owner«»	prev«X!»	unowned
WJFUN210	0.0	dragAndDrop	h p ?		«[Activity 2B] [drag and drop] [Self Check]»	after«»	cell0«»	head«Choosing effective words»	owner«»	prev«?»	unowned
WJFUN211	0.0	dropDown	h e e e I e I p		«[Activity 2A] [Dropdown quiz – Auto check] [Please»	after«»	cell0«»	head«Engaging the senses»	owner«»	prev«p»	unowned
WJFUN211	0.0	dropDown	h p p p p p ?		«[Activity 2B][Dropdown Quiz – Auto Check][Arrange »	after«»	cell0«»	head«Think Like the Reader»	owner«»	prev«p»	unowned
WJFUN305	0.0	dropDown	h p e p p p p ?		«[Activity 1A] [Dropdown quiz – Auto check] [Arrang»	after«»	cell0«»	head«Audience or Purpose?»	owner«»	prev«X»	unowned
WJFUN305	0.0	dropDown	h p p p p ?		«[Activity 2A] [Dropdown quiz – Auto check] [Arrang»	after«»	cell0«»	head«Form, Genre, or Style?»	owner«»	prev«p»	unowned
WJFUN305	0.0	dropDown	h p p p p ?		«[Activity 2C] [Dropdown Quiz – Auto Check] [arrang»	after«»	cell0«»	head«Why did the writer choose that?»	owner«»	prev«X»	unowned
WJFUN306	0.0	dropDown	h e p p p ?		«[Activity 2C] [Dropdown quiz – autocheck] [positio»	after«»	cell0«»	head«Codes and conventions»	owner«»	prev«X»	unowned
WJFUN307	0.0	dropDown	h p p p p p p ?		«[Activity 1A] [Dropdown Quiz – Auto Check] [Arrang»	after«»	cell0«»	head«Synonym strength»	owner«»	prev«p»	unowned
WJFUN307	0.0	selectionBox	h p p p p p ?		«[Activity 2A] [checkbox – Auto Check] [Arrange the»	after«»	cell0«»	head«Spot the language feature»	owner«»	prev«p»	unowned
WJFUN307	0.0	selectionBox	h p p p p p ?		«[Activity 2B] [checkbox – Auto Check] [Arrange the»	after«»	cell0«»	head«Choose the best language feature»	owner«»	prev«X»	unowned
WJFUN308	0.0	dropDown	h p p p p p p p		«[Activity 1B] [Dropdown Quiz – Auto Check] [Arrang»	after«»	cell0«»	head«The author's choice»	owner«»	prev«p»	unowned
XDLS501	3.0	dropDown	h e h e X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«Mindful Behavior»	owner«»	prev«e»	unowned
XDLS501	5.0	dropDown	h e X		«[Dropbox If we could embed a dropbox capable of re»	after«»	cell0«»	head«Mindfully sharing ideas and information»	owner«»	prev«e»	unowned
XGF9001	4.0	multiChoiceQuiz	h p p p p h p p		«[Quiz]»	after«»	cell0«»	head«1. When faced with a big challenge, you:»	owner«»	prev«p»	unowned
XGF9001	6.0	dropDown	h p p p p p		«[Upload Journal to Dropbox]»	after«»	cell0«»	head«What have we learned and where to next?»	owner«»	prev«e»	unowned
XGF9003	1.0	modal	h X		«[Pop-out]»	after«Tasks that need immediate atte»	cell0«»	head«**Do this later**»	owner«»	prev«h»	unowned
XGF9003	1.0	modal	h X		«[Pop-out]»	after«Tasks that are important for y»	cell0«»	head«**Delegate this**»	owner«»	prev«h»	unowned
XGF9003	1.0	modal	h X		«[Pop-out]»	after«These are tasks that need imme»	cell0«»	head«**Delete this**»	owner«»	prev«h»	unowned
XGF9003	1.0	modal	h p X		«[Pop-out]»	after«Tasks that are neither urgent »	cell0«»	head«Putting the Eisenhower Matrix into practice»	owner«»	prev«h»	unowned
XGF9004	8.0	dropDown	h p p p p h p p		«[Upload to dropbox.]»	after«»	cell0«»	head«What have we learned?»	owner«»	prev«e»	unowned
XGF9004	13.0	dropDown	h p p h p X		«[Upload to dropbox.]»	after«»	cell0«»	head«What have we learned in Awa Whakaaro | River of Thought?»	owner«»	prev«p»	unowned
XGF9004	17.0	dropDown	h p p I X		«[Upload to dropbox.]»	after«»	cell0«»	head«What have we learned?»	owner«»	prev«e»	unowned
XGF9004	17.0	dropDown	h h p h p X		«[Upload to dropbox.]»	after«»	cell0«»	head«Bringing it All Together»	owner«»	prev«e»	unowned
XLP05	2.0	reorder	h p I p e p e p		«[Reorder interactive – with images]»	after«»	cell0«»	head«Evening schedule»	owner«»	prev«e»	unowned
XLP05	5.0	multiChoiceQuiz	h p p p p p ?		«[Multi choice quiz]»	after«»	cell0«»	head«Quiz time»	owner«»	prev«p»	unowned
XMES101	8.0	dropDown	h p e p e		«[camera dropbox button]»	after«»	cell0«»	head«Matariki song»	owner«»	prev«p!»	unowned
XTAS101	1.0	dropDown	h p X		«[insert dropbox button] Microphone»	after«»	cell0«»	head«Sorting»	owner«»	prev«p»	unowned
XTAS101	1.0	dropDown	h p p I X		«[insert dropbox link] Photo»	after«»	cell0«»	head«Where does my special interest belong?»	owner«»	prev«p!»	unowned
XTAS102	2.0	dropDown	h p p p X		«[insert dropbox icon for photographs and video]»	after«»	cell0«»	head«Matching pairs»	owner«»	prev«p!»	unowned
AGH1005	2.0	dragAndDrop	h p p p p h p p		«[interactive: drag and drop]»	after«»	cell0«»	head«Match the label to the correct part of the plant.»	owner«(synthetic)#»	owned
AGH1006	4.0	radioQuiz	h p p p p p I X		«[interactive: true/false]»	after«»	cell0«»	head«Knowledge CheckTrue/False»	owner«(synthetic)#»	owned
ARFUN04	0.0	multiChoiceQuiz	h p h p p p h X		«[create visual quiz with images and words]»	after«»	cell0«»	head«**Give it a try**»	owner«[Activity 3G] [H3]#3G»	owned
ARFUN04	0.0	dragAndDrop	h p p p p p p p		«[create a drag and drop]»	after«»	cell0«»	head«**Types of Space and Techniques to Create Space**»	owner«[Activity 4G] [H3]#4G»	owned
ARFUN04	0.0	radioQuiz	h p p p p p h p		«[Create true or false quiz]»	after«»	cell0«»	head«**Unity in art**»	owner«[Activity 4O] [H3]#4O»	owned
